Model;Variable;Period;HR;LB;UP;Significance
Cardiovascular Phase III;Lead Agency: Other;1825 - (1990-2020);0,3;0,18;0,5;1
Cardiovascular Phase III;US/International: Both;1825 - (1990-2020);0,53;0,38;0,75;1
Cardiovascular Phase III;US/International: International;1825 - (1990-2020);1,01;0,72;1,43;0
Cardiovascular Phase III;Enrollment;3500 - (1990-2010);0,28;0,14;0,55;1
Cardiovascular Phase III;Number of Arms: More than Three;3500 - (1990-2010);1,91;1,16;3,15;1
Cardiovascular Phase III;Drug Class: NME;3500 - (1990-2010);1,53;0,71;3,26;0
Cardiovascular Phase III;Drug Class: Non NME;3500 - (1990-2010);2,44;1,05;5,66;1
Cardiovascular Phase III;Lead Agency: Other;3500 - (1990-2010);0,41;0,2;0,85;1
Cardiovascular Phase III;US/International: Both;3500 - (1990-2010);0,77;0,48;1,22;0
Cardiovascular Phase III;US/International: International;3500 - (1990-2010);1,47;0,82;2,64;0
Cardiovascular Phase III;Enrollment;3500 - (2010-2020);0,12;0,05;0,26;1
Cardiovascular Phase III;Number of Arms: More than Three;3500 - (2010-2020);1,46;0,97;2,21;0
Cardiovascular Phase III;Drug Class: NME;3500 - (2010-2020);1,12;0,79;1,59;0
Cardiovascular Phase III;Drug Class: Non NME;3500 - (2010-2020);1,87;1,22;2,87;1
Cardiovascular Phase III;Lead Agency: Other;3500 - (2010-2020);0,27;0,14;0,53;1
Cardiovascular Phase III;US/International: Both;3500 - (2010-2020);0,41;0,25;0,68;1
Cardiovascular Phase III;US/International: International;3500 - (2010-2020);0,85;0,53;1,37;0
Cardiovascular Phase III;Enrollment;1825 - (1990-2010);0,26;0,11;0,6;1
Cardiovascular Phase III;Number of Arms: More than Three;1825 - (1990-2010);1,46;0,87;2,43;0
Cardiovascular Phase III;Drug Class: NME;1825 - (1990-2010);2,17;0,9;5,21;0
Cardiovascular Phase III;Drug Class: Non NME;1825 - (1990-2010);4,31;1,7;10,92;1
Cardiovascular Phase III;Lead Agency: Other;1825 - (1990-2010);0,36;0,13;1;0
Cardiovascular Phase III;US/International: Both;1825 - (1990-2010);0,51;0,32;0,83;1
Cardiovascular Phase III;US/International: International;1825 - (1990-2010);1,28;0,68;2,42;0
Cardiovascular Phase III;Enrollment;1825 - (2010-2020);0,1;0,04;0,23;1
Cardiovascular Phase III;Number of Arms: More than Three;1825 - (2010-2020);1,33;0,87;2,02;0
Cardiovascular Phase III;Drug Class: NME;1825 - (2010-2020);1,11;0,78;1,59;0
Cardiovascular Phase III;Drug Class: Non NME;1825 - (2010-2020);2,62;1,63;4,19;1
Cardiovascular Phase III;Lead Agency: Other;1825 - (2010-2020);0,23;0,12;0,45;1
Cardiovascular Phase III;US/International: Both;1825 - (2010-2020);0,53;0,32;0,88;1
Cardiovascular Phase III;US/International: International;1825 - (2010-2020);0,79;0,49;1,29;0
