"","nct_id","phase","enrollment","number_of_arms","has_dmc","Drug_Class","allocation","intervention_model","primary_purpose","masking","subject_masked","caregiver_masked","investigator_masked","outcomes_assessor_masked","Experimental","Control","Other","n_countries","lead_agency","n_collaborator","us_international","intervention_type","Disease_Group","duration","Therapy","Pivotal","SPA","Orphan","Breakthrough","RMAT","QIDP","Fast_Track","n_primary_endpoint","n_secondary_endpoint"
"2186","NCT02405338","Phase 2",2.99573227355399,"Less than or equal to three","True","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"International only","Biological","Oncology",1705,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2187","NCT02405260","Phase 2",5.24702407216049,"More than three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","1","0",0,"Industry",0,"U.S.A. only","Drug","Endocrine",549,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2188","NCT02405091","Phase 3",5.11799381241676,"Less than or equal to three","False","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",1.09861228866811,"Industry",0,"Both","Drug","Neurology",731,"Monotherapy","Y","N","No","Yes","No","No","Yes","1-3","1-2"
"2189","NCT02404350","Phase 3",6.90475076996184,"More than three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","1","1","0",3.36729582998647,"Industry",0,"Both","Biological","Autoimmune/immunology",1242,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2190","NCT02403401","Phase 3",7.29369772060144,"Less than or equal to three","False","Non-NME","Other","Single Group Assignment","Not Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0.693147180559945,"Industry",0,"Both","Drug","Endocrine",419,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2191","NCT02403271","Phase 2",4.82028156560504,"Less than or equal to three","True","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Oncology",884,"Combination","N","N","No","No","No","No","No","1-3","3-7"
"2192","NCT02402933","Phase 3",3.25809653802148,"Less than or equal to three","False","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Endocrine",153,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2193","NCT02402712","Phase 3",6.03548143252476,"Less than or equal to three","False","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",2.56494935746154,"Industry",0,"International only","Drug","Oncology",1388,"Combination","N","N","No","No","No","No","No","1-3","1-2"
"2194","NCT02402530","Phase 3",6.12905021006055,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","1","0","0",1.09861228866811,"Industry",0,"Both","Drug","Neurology",580,"Monotherapy","N","N","Yes","Yes","No","No","Yes","1-3","1-2"
"2195","NCT02402309","Phase 2",2.484906649788,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Dermatology",457,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"2196","NCT02402270","Phase 2",4.23410650459726,"More than three","True","Non-NME","Randomized","Parallel Assignment","Not Treatment","Single","FALSE","FALSE","TRUE","FALSE","1","1","0",0,"Industry",0,"U.S.A. only","Drug","Gastroenterology (Non Inflammatory Bowel Disease)",396,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2197","NCT02401945","Phase 2",2.77258872223978,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Ophthalmology",550,"Monotherapy and Combo Therapy","N","N","No","No","No","No","No","1-3","1-2"
"2198","NCT02401750","Phase 3",5.09375020080676,"Less than or equal to three","False","Non-NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Neurology",92,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2199","NCT02401048","Phase 2",4.11087386417331,"Less than or equal to three","False","NME","Other","Factorial Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",1.09861228866811,"U.S.A. only","Drug","Oncology",914,"Combination","N","N","Yes","No","No","No","No","1-3","1-2"
